customer_id,name,gender,age,region,join_date
1,Pranay Deep,Male,56,South,26-02-2023
2,Zain Shan,Male,46,East,23-11-2024
3,Neelofar Gill,Female,32,North,12-05-2025
4,Anay Dora,Male,25,East,10-09-2023
5,Emir Devi,Male,38,West,21-09-2022
6,Ayesha Khanna,Male,56,South,17-03-2024
7,Madhup Lall,Male,36,West,01-05-2024
8,Nitara Dave,Male,40,South,10-07-2022
9,Vaibhav Dash,Female,28,North,12-05-2023
10,Elakshi Chauhan,Male,28,East,18-03-2024
11,Ritvik Choudhry,Male,41,East,04-07-2024
12,Adah Srinivas,Male,53,North,21-04-2024
13,Hrishita Mander,Male,57,East,05-02-2024
14,Shamik Dasgupta,Male,41,West,16-05-2023
15,Shayak Chada,Male,20,North,20-11-2022
16,Shlok Som,Male,39,West,08-02-2024
17,Faiyaz Ramanathan,Female,19,South,11-12-2023
18,Purab Kuruvilla,Male,41,East,11-06-2023
19,Shalv Karpe,Female,47,West,13-02-2023
20,Taran Virk,Female,55,East,23-02-2024
21,Kimaya Bhatti,Male,19,South,30-01-2023
22,Aarna Sha,Male,38,East,14-06-2025
23,Yuvraj  Kar,Female,50,South,12-05-2024
24,Tiya Soman,Female,29,North,13-01-2024
25,Prisha Bakshi,Female,39,East,04-02-2024
26,Shray Lad,Male,42,North,23-11-2022
27,Saira Varghese,Male,44,South,26-10-2024
28,Pihu Ganesh,Female,59,North,06-07-2022
29,Damini Lall,Male,45,West,14-02-2025
30,Samaira Sandhu,Male,33,North,23-09-2023
31,Yuvraj  Ratta,Female,32,West,22-05-2025
32,Zoya Char,Male,20,South,12-03-2024
33,Nishith Sandhu,Female,54,South,30-01-2023
34,Bhamini Ramesh,Female,24,East,01-02-2023
35,Adah Sem,Female,38,West,16-01-2025
36,Vihaan Dar,Male,26,East,23-08-2024
37,Hiran Shere,Female,56,East,03-06-2023
38,Hrishita Jhaveri,Male,35,South,04-01-2025
39,Vardaniya Jayaraman,Female,21,North,04-12-2023
40,Ehsaan Bedi,Male,42,South,18-10-2024
41,Indranil Yohannan,Female,31,South,08-03-2023
42,Hazel Jaggi,Female,26,North,06-07-2023
43,Rania Grover,Male,43,West,23-03-2025
44,Piya Sodhi,Male,19,West,27-10-2023
45,Rasha Trivedi,Male,37,North,04-11-2022
46,Divit Hayre,Male,45,North,01-07-2025
47,Akarsh Dhawan,Female,24,East,07-01-2023
48,Shalv Wason,Male,25,North,02-02-2025
49,Hiran Atwal,Male,52,North,14-10-2023
50,Manikya Deshpande,Male,31,East,22-08-2022
51,Jayan Deshpande,Female,34,West,05-06-2023
52,Ishita Shan,Female,53,North,24-01-2023
53,Sana Luthra,Female,57,North,04-12-2023
54,Onkar Sule,Female,21,East,06-04-2025
55,Samarth Soni,Male,19,North,13-10-2024
56,Indranil Wali,Female,23,East,07-08-2023
57,Ehsaan Walia,Female,59,South,26-08-2023
58,Charvi Sankar,Male,21,East,29-08-2022
59,Azad Viswanathan,Female,46,South,30-05-2024
60,Miraya Sandal,Male,35,South,13-05-2025
61,Kavya Barad,Male,43,East,21-12-2022
62,Samaira Bhatnagar,Male,51,East,30-04-2023
63,Yuvraj  Bhattacharyya,Male,27,East,11-03-2024
64,Nayantara Mangat,Female,53,West,08-07-2024
65,Kiara Jhaveri,Female,31,North,26-09-2022
66,Damini Datta,Female,48,East,13-10-2024
67,Jayant Gera,Male,32,South,31-05-2025
68,Purab Bhalla,Female,25,South,16-03-2023
69,Aradhya Verma,Male,31,East,28-05-2025
70,Gatik Issac,Male,40,North,23-06-2025
71,Manjari Raj,Male,57,North,12-01-2024
72,Mannat Wason,Female,38,North,31-05-2023
73,Ryan Chaudhry,Female,33,South,14-02-2024
74,Amira Ahuja,Female,35,East,01-07-2025
75,Miraan Ghose,Male,41,East,02-04-2024
76,Vaibhav Loyal,Male,43,East,25-10-2022
77,Vivaan Balay,Female,42,South,01-10-2023
78,Kanav Borah,Male,58,East,31-03-2025
79,Renee Brahmbhatt,Female,46,South,21-05-2023
80,Sana Malhotra,Female,32,South,19-05-2023
81,Heer Rau,Female,18,North,30-06-2024
82,Anahi Ahluwalia,Male,42,East,30-11-2023
83,Aaryahi Balan,Female,24,East,13-12-2023
84,Saira Sathe,Male,26,West,14-12-2023
85,Ivana Bhasin,Male,41,North,18-01-2023
86,Charvi Gara,Female,18,South,25-06-2025
87,Hiran Edwin,Female,25,North,29-09-2024
88,Samiha Gala,Female,41,West,22-04-2025
89,Advika Tara,Female,28,North,18-06-2024
90,Riaan Swamy,Male,34,North,04-09-2023
91,Abram Chacko,Male,25,West,03-02-2023
92,Anahita Gour,Female,52,North,02-12-2023
93,Tanya Desai,Male,52,North,20-05-2023
94,Dhanuk Edwin,Male,50,West,15-06-2025
95,Ritvik Kapur,Male,22,West,15-09-2024
96,Arhaan Mangal,Male,59,South,24-04-2023
97,Himmat Suri,Male,56,West,10-12-2022
98,Hrishita Kalita,Female,58,East,11-04-2025
